Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
Closed,1012,Low,Email,Feature request,1st line support,Kristos Westoll,01-02-2023 00:58,01-04-2023 00:58,01-02-2023 01:58,03:17.4,Within SLA,31:51.7,Within SLA,02:59.0,1,3,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675
In progress,1013,High,Phone,Product setup,2nd line support,Adolpho Messingham,01-02-2023 07:27,01-04-2023 07:27,01-02-2023 07:29,27:43.2,Within SLA,,SLA Violated,,3,,Other,Tier 2,Italy,43.036776,12.678565
Resolved,1014,Low,Chat,Purchasing and invoicing,1st line support,Bernard Beckley,01-02-2023 06:59,01-03-2023 06:59,01-02-2023 07:01,59:57.5,Within SLA,45:33.0,Within SLA,,2,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Closed,1015,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,01-03-2023 03:09,01-05-2023 03:09,01-03-2023 04:09,09:15.8,SLA Violated,32:35.0,Within SLA,24:54.8,10,4,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Closed,1016,Low,Email,Product setup,1st line support,Kristos Westoll,01-03-2023 00:03,01-05-2023 00:03,01-03-2023 01:03,08:01.7,Within SLA,03:06.0,Within SLA,05:08.6,1,2,Other,Tier 1,Austria,47.6964719,13.3457347
Closed,1017,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,01-03-2023 14:25,01-05-2023 14:25,01-03-2023 15:25,45:14.4,Within SLA,55:56.5,Within SLA,41:07.9,2,2,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1018,Low,Phone,Product setup,1st line support,Kristos Westoll,01-03-2023 15:32,01-05-2023 15:32,01-03-2023 15:34,34:00.3,Within SLA,51:37.0,Within SLA,52:35.2,2,3,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1019,Medium,Chat,Pricing and licensing,2nd line support,Michele Whyatt,01-03-2023 00:38,01-04-2023 00:38,01-03-2023 00:40,39:30.3,Within SLA,47:55.8,SLA Violated,,2,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
Resolved,1020,Medium,Chat,Product setup,1st line support,Kristos Westoll,01-03-2023 09:37,01-04-2023 09:37,01-03-2023 09:39,41:55.5,SLA Violated,31:37.9,Within SLA,,6,,Other,Tier 1,Germany,51.165691,10.451526
Closed,1021,Low,Email,Product setup,1st line support,Bernard Beckley,01-03-2023 09:27,01-05-2023 09:27,01-03-2023 10:27,24:48.2,Within SLA,16:32.5,Within SLA,25:29.5,1,4,Training and Consulting Services,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1024,Medium,Chat,Other,1st line support,Bernard Beckley,01-03-2023 16:41,01-04-2023 16:41,01-03-2023 16:43,43:40.9,SLA Violated,52:18.3,Within SLA,38:58.7,60,5,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1025,Low,Chat,Bug report,1st line support,Sheela Cutten,01-03-2023 04:50,01-04-2023 04:50,01-03-2023 04:52,50:05.2,Within SLA,17:12.4,SLA Violated,37:59.2,3,3,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1026,Low,Chat,Bug report,1st line support,Nicola Wane,01-04-2023 10:49,01-05-2023 10:49,01-04-2023 10:51,50:41.6,Within SLA,37:37.3,Within SLA,53:53.0,2,4,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Resolved,1027,Low,Chat,Training request,1st line support,Bernard Beckley,01-04-2023 07:27,01-05-2023 07:27,01-04-2023 07:29,28:51.8,Within SLA,41:40.5,Within SLA,,3,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1028,Low,Chat,Bug report,1st line support,Kristos Westoll,01-04-2023 21:46,01-05-2023 21:46,01-04-2023 21:48,46:51.2,Within SLA,28:20.3,Within SLA,,2,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1029,Medium,Chat,Feature request,1st line support,Bernard Beckley,01-04-2023 09:12,01-05-2023 09:12,01-04-2023 09:14,13:35.2,Within SLA,45:18.3,Within SLA,18:19.8,60,5,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1030,Medium,Chat,Feature request,1st line support,Connor Danielovitch,01-04-2023 19:36,01-05-2023 19:36,01-04-2023 19:38,37:55.7,Within SLA,24:20.0,Within SLA,16:49.1,5,4,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1031,Low,Email,Feature request,1st line support,Kristos Westoll,01-04-2023 18:08,01-06-2023 18:08,01-04-2023 19:08,13:04.1,Within SLA,,SLA Violated,,4,,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1032,Low,Email,Product setup,2nd line support,Heather Urry,01-04-2023 12:47,01-06-2023 12:47,01-04-2023 13:47,20:44.1,Within SLA,54:03.4,Within SLA,,2,,Other,Tier 2,Germany,51.165691,10.451526
In progress,1034,Low,Chat,Other,1st line support,Connor Danielovitch,01-04-2023 19:06,01-05-2023 19:06,01-04-2023 19:08,07:35.3,Within SLA,,SLA Violated,,9,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
In progress,1035,High,Email,Training request,1st line support,Connor Danielovitch,01-04-2023 05:27,01-06-2023 05:27,01-04-2023 06:27,07:00.2,Within SLA,,SLA Violated,,7,,Training and Consulting Services,Tier 1,Germany,51.165691,10.451526
Resolved,1037,Low,Email,Product setup,1st line support,Sheela Cutten,01-05-2023 12:10,01-07-2023 12:10,01-05-2023 13:10,34:20.3,Within SLA,23:15.1,Within SLA,,1,,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1038,High,Chat,Other,1st line support,Bernard Beckley,01-05-2023 04:18,01-06-2023 04:18,01-05-2023 04:20,19:42.0,Within SLA,22:17.2,Within SLA,08:53.6,3,3,Other,Tier 1,Italy,43.036776,12.678565
Resolved,1039,Medium,Chat,Purchasing and invoicing,2nd line support,Adolpho Messingham,01-05-2023 05:16,01-06-2023 05:16,01-05-2023 05:18,18:00.5,Within SLA,37:10.8,Within SLA,,3,,Custom software development,Tier 2,Poland,52.536273,19.050639
In progress,1040,High,Chat,Bug report,2nd line support,Heather Urry,01-05-2023 14:30,01-06-2023 14:30,01-05-2023 14:32,31:02.4,Within SLA,,SLA Violated,,6,,Ready to use Software,Tier 2,Poland,52.536273,19.050639
Closed,1041,Low,Chat,Product setup,1st line support,Bernard Beckley,01-05-2023 02:59,01-06-2023 02:59,01-05-2023 03:01,04:27.5,SLA Violated,50:51.2,Within SLA,37:32.1,8,2,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1043,High,Email,Pricing and licensing,1st line support,Connor Danielovitch,01-05-2023 03:31,01-07-2023 03:31,01-05-2023 04:31,02:05.0,Within SLA,14:14.3,Within SLA,40:33.6,3,5,Custom software development,Tier 1,Italy,43.036776,12.678565
Closed,1044,Low,Chat,Product setup,1st line support,Kristos Westoll,01-06-2023 20:45,01-07-2023 20:45,01-06-2023 20:47,47:41.3,Within SLA,07:32.8,Within SLA,39:58.9,3,2,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1045,Medium,Email,Bug report,1st line support,Kristos Westoll,01-06-2023 20:14,01-08-2023 20:14,01-06-2023 21:14,58:29.8,Within SLA,15:33.4,Within SLA,,4,,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Resolved,1046,High,Email,Bug report,1st line support,Sheela Cutten,01-06-2023 15:11,01-08-2023 15:11,01-06-2023 16:11,35:55.1,Within SLA,22:47.5,Within SLA,,1,,Custom software development,Tier 1,Poland,52.536273,19.050639
In progress,1047,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,01-06-2023 03:15,01-08-2023 03:15,01-06-2023 04:15,07:57.7,Within SLA,,SLA Violated,,1,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
In progress,1048,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,01-06-2023 23:55,01-07-2023 23:55,01-06-2023 23:57,56:15.2,Within SLA,,SLA Violated,,8,,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1049,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,01-06-2023 12:05,01-07-2023 12:05,01-06-2023 12:07,06:37.3,Within SLA,34:05.3,SLA Violated,40:58.2,3,4,Custom software development,Tier 1,Poland,52.536273,19.050639
Closed,1050,Low,Email,Product setup,1st line support,Nicola Wane,01-07-2023 01:13,01-09-2023 01:13,01-07-2023 02:13,33:11.3,Within SLA,26:02.0,SLA Violated,42:18.5,6,4,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726
Closed,1054,High,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,01-07-2023 05:28,01-09-2023 05:28,01-07-2023 06:28,09:50.2,Within SLA,30:22.6,Within SLA,18:51.5,2,5,Custom software development,Tier 2,Italy,43.036776,12.678565
Closed,1055,High,Email,Bug report,1st line support,Connor Danielovitch,01-07-2023 18:09,01-09-2023 18:09,01-07-2023 19:09,04:58.1,Within SLA,07:23.2,Within SLA,16:01.0,8,4,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1056,Low,Email,Bug report,1st line support,Kristos Westoll,01-07-2023 00:13,01-09-2023 00:13,01-07-2023 01:13,19:13.6,Within SLA,56:19.5,Within SLA,,8,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1057,Medium,Email,Feature request,1st line support,Bernard Beckley,01-07-2023 09:55,01-09-2023 09:55,01-07-2023 10:55,35:51.0,Within SLA,35:54.0,Within SLA,28:09.8,7,5,Ready to use Software,Tier 1,Germany,51.165691,10.451526
In progress,1058,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,01-08-2023 13:39,01-10-2023 13:39,01-08-2023 14:39,36:27.2,Within SLA,,SLA Violated,,10,,Ready to use Software,Tier 1,France,48.864716,2.349014
In progress,1062,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,01-08-2023 19:35,01-09-2023 19:35,01-08-2023 19:37,36:35.3,Within SLA,,SLA Violated,,60,,Custom software development,Tier 1,Republic of Ireland,53.094024,-8.019675
Closed,1063,Low,Phone,Feature request,1st line support,Kristos Westoll,01-08-2023 04:56,01-10-2023 04:56,01-08-2023 04:58,01:41.5,SLA Violated,51:45.4,Within SLA,26:34.1,2,1,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1064,High,Chat,Other,1st line support,Connor Danielovitch,01-08-2023 10:58,01-09-2023 10:58,01-08-2023 11:00,59:35.8,Within SLA,42:49.3,Within SLA,07:57.4,5,5,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1065,Medium,Chat,Product setup,1st line support,Sheela Cutten,01-08-2023 01:00,01-09-2023 01:00,01-08-2023 01:02,01:24.9,Within SLA,07:23.6,Within SLA,51:41.3,3,3,Ready to use Software,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1066,Medium,Chat,Product setup,1st line support,Sheela Cutten,01-09-2023 14:16,01-10-2023 14:16,01-09-2023 14:18,17:22.4,Within SLA,21:28.9,Within SLA,,6,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Resolved,1067,Low,Email,Product setup,1st line support,Sheela Cutten,01-09-2023 15:09,01-11-2023 15:09,01-09-2023 16:09,37:18.5,Within SLA,02:32.5,Within SLA,,3,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1068,Low,Email,Product setup,1st line support,Kristos Westoll,01-09-2023 14:10,01-11-2023 14:10,01-09-2023 15:10,48:04.2,Within SLA,32:16.9,Within SLA,22:09.1,3,1,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1069,Medium,Email,Pricing and licensing,2nd line support,Heather Urry,01-09-2023 17:25,01-11-2023 17:25,01-09-2023 18:25,57:41.6,Within SLA,39:05.9,Within SLA,04:12.5,2,5,Custom software development,Tier 2,Poland,52.536273,19.050639
Resolved,1070,High,Email,Pricing and licensing,2nd line support,Adolpho Messingham,01-09-2023 18:55,01-11-2023 18:55,01-09-2023 19:55,32:12.0,Within SLA,10:06.5,SLA Violated,,1,,Custom software development,Tier 2,Germany,51.165691,10.451526
Closed,1071,Medium,Email,Training request,2nd line support,Michele Whyatt,01-09-2023 11:56,01-11-2023 11:56,01-09-2023 12:56,16:08.2,Within SLA,04:07.3,Within SLA,45:03.5,1,4,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675
Closed,1072,High,Email,Feature request,1st line support,Sheela Cutten,01-09-2023 20:14,01-11-2023 20:14,01-09-2023 21:14,29:39.0,Within SLA,44:54.1,Within SLA,24:18.7,1,5,Custom software development,Tier 1,Germany,51.165691,10.451526
